season,age,squad,country,comp,games_played,starts,mins,goals,assists,g+a,non_pens_goals,pens,yellow_card,red_card,xg,npxg,xa,npxg+xa,progC,progP,progR,goals_per90,assists_per90,goals_and_assists_per90,non_pens_goals_per90,goals_assists_non_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
2019-2020,18,Nott'ham Forest,eng ENG,2. Championship,4.0,2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08181818181818182,0.13,0.08,0.13
2019-2020,18,Nott'ham Forest,eng ENG,EFL Cup,3.0,2.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7
2019-2020,18,Nott'ham Forest,eng ENG,FA Cup,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7
2020-2021,19,Lincoln City,eng ENG,FA Cup,2.0,2.0,180.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.0,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7
2020-2021,19,Lincoln City,eng ENG,3. League One,40.0,38.0,3307.0,10.0,6.0,16.0,9.0,1.0,9.0,0.0,5.234455445366195,4.556262043553225,3.691625013201535,7.948105494542769,51.825715257049396,31.944893026526017,119.59077046725797,0.27,0.16,0.44,0.24,0.41,0.16164334637890737,0.11231545901296942,0.24803993534068164,0.16811277394030696,0.2537340189666186
2021-2022,20,Nott'ham Forest,eng ENG,2. Championship,46.0,44.0,3898.0,16.0,10.0,26.0,13.0,3.0,3.0,0.0,12.9,10.3,8.7,19.0,129.0,75.0,263.0,0.37,0.23,0.6,0.3,0.53,0.3,0.20087224217547456,0.5,0.24,0.44
2021-2022,20,Nott'ham Forest,eng ENG,FA Cup,4.0,4.0,357.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.25,0.0,0.25,0.25,0.25,0.7,0.7,0.7,0.7,0.7
2022-2023,21,Nott'ham Forest,eng ENG,EFL Cup,5.0,4.0,339.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.53,0.0,0.53,0.27,0.27,0.7,0.7,0.7,0.7,0.7
2022-2023,21,Nott'ham Forest,eng ENG,FA Cup,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7
2022-2023,21,Nott'ham Forest,eng ENG,1. Premier League,38.0,33.0,2934.0,8.0,3.0,11.0,7.0,1.0,6.0,0.0,8.6,6.2,3.2,9.4,88.0,30.0,155.0,0.25,0.09,0.34,0.21,0.31,0.26,0.09815950920245399,0.36,0.19,0.29
2023-2024,22,Nott'ham Forest,eng ENG,EFL Cup,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7
2023-2024,22,Tottenham,eng ENG,FA Cup,2.0,2.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7
2023-2024,22,Tottenham,eng ENG,1. Premier League,32.0,23.0,2085.0,5.0,10.0,15.0,5.0,0.0,3.0,0.0,10.3,10.3,8.1,18.3,97.0,72.0,293.0,0.22,0.43,0.65,0.22,0.65,0.44,0.3496402877697842,0.79,0.44,0.79
2023-2024,22,Nott'ham Forest,eng ENG,1. Premier League,3.0,3.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0759493670886076,0.21,0.12,0.21
2024-2025,23,Tottenham,eng ENG,EFL Cup,4.0,1.0,217.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.41,0.0,0.41,0.41,0.41,0.7,0.7,0.7,0.7,0.7
2024-2025,23,Tottenham,eng ENG,2. Europa Lg,6.0,4.0,288.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.5,1.5,0.9,2.3,4.0,8.0,26.0,0.94,0.31,1.25,0.94,1.25,0.45,0.28125,0.72,0.45,0.72
2024-2025,23,Tottenham,eng ENG,FA Cup,1.0,1.0,120.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.0,0.75,0.75,0.75,0.7,0.7,0.7,0.7,0.7
2024-2025,23,Tottenham,eng ENG,1. Premier League,21.0,16.0,1492.0,7.0,2.0,9.0,7.0,0.0,3.0,0.0,8.0,8.0,1.3,9.3,46.0,50.0,153.0,0.42,0.12,0.54,0.42,0.54,0.48,0.07841823056300269,0.56,0.48,0.56
